ردیف,نام منبع,نام اکانت,نوع,زبان,موضوع,زیر‌دسته,لینک,دقت,سرعت,بی‌طرفی,امتیاز کل,فعال
1,Sentinel Def,@sentdefender,توییتر,انگلیسی,سایبری (IT),IT,https://twitter.com/sentdefender,24,23,22,69,بله
2,Intel Crab,@IntelCrab,توییتر,انگلیسی,جنگ,خاورمیانه,https://twitter.com/IntelCrab,25,24,23,72,بله
3,CyberKnow_,@CyberKnow_,توییتر,انگلیسی,نشت اطلاعات,دیتابیس,https://twitter.com/CyberKnow_,23,22,22,67,بله
4,War Mapper,@war_mapper,توییتر,انگلیسی,جنگ,نقشه,https://twitter.com/war_mapper,24,23,23,70,بله
5,Cyber Iran Leaks,@CyberIranLeaks,تلگرام,فارسی,نشت اطلاعات,دیتابیس,https://t.me/CyberIranLeaks,22,21,20,63,بله
6,ICS CERT,-,وب‌سایت,انگلیسی,سایبری صنعتی,SCADA/ICS,https://www.cisa.gov/ics,25,25,24,74,بله
7,Flash Alerts,@Flash_Alerts,توییتر,انگلیسی,ترور,هشدار فوری,https://twitter.com/Flash_Alerts,23,25,21,69,بله
8,OSINT Defender,@OSINTdefender,توییتر,انگلیسی,جنگ / ترور,نقشه و تحلیل,https://twitter.com/OSINTdefender,24,23,22,69,بله
9,Cyber Shafarat,@CyberShafarat,توییتر,انگلیسی,سایبری ایران,تهدیدات APT,https://twitter.com/CyberShafarat,23,22,20,65,بله
10,ThreatMon,@ThreatMon,توییتر,انگلیسی,سایبری / نشت,دیتابیس,https://twitter.com/ThreatMon,24,24,23,71,بله
11,MabnaLeaks,@MabnaLeaks,توییتر,فارسی,نشت اطلاعات,ایران,https://twitter.com/MabnaLeaks,22,21,21,64,بله
12,DarkTracer,@darktracer_int,توییتر,انگلیسی,دارک‌وب,تهدیدات فعال,https://twitter.com/darktracer_int,25,24,22,71,بله
13,ShadowGate,-,وب‌سایت,انگلیسی,سایبری,"APT, Leaks",https://shadowgate.org,23,22,21,66,بله
14,CyberUnit51,@CyberUnit51,توییتر,انگلیسی,سایبری (ICS/IT),صنعتی و زیرساخت,https://twitter.com/CyberUnit51,25,25,23,73,بله
15,Lab Dookhtegan,@GreenLeakers,توییتر,فارسی,نشت اطلاعات,ایران,https://twitter.com/GreenLeakers,23,23,22,68,بله
16,@iribnews (پایشگر),@iribnews,توییتر,فارسی,ترور و عملیات,امنیت داخلی,https://twitter.com/iribnews,20,20,16,56,بله
17,Middle East Eye,@MiddleEastEye,توییتر,انگلیسی,جنگ و امنیت,منطقه‌ای,https://twitter.com/MiddleEastEye,24,23,22,69,بله
18,DEFCERT.ir,-,وب‌سایت,فارسی,سایبری ایران,ICS/SCADA,https://defcert.ir,25,25,22,72,بله
19,DataBreaches.net,@databreach,توییتر,انگلیسی,نشت اطلاعات,جهانی,https://twitter.com/databreach,24,23,23,70,بله
20,Milinavi,@milinavi,توییتر,انگلیسی,جنگ نظامی,پایش لحظه‌ای,https://twitter.com/milinavi,24,22,22,68,بله
21,Sabrin News,@sabrinnews,تلگرام,عربی,جنگ و عملیات,مقاومت منطقه‌ای,https://t.me/sabrinnews,20,23,10,53,بله
22,IntelAir&Sea,@IntelAirSea,توییتر,انگلیسی,جنگ هوایی/دریایی,منطقه‌ای,https://twitter.com/IntelAirSea,24,23,22,69,بله
23,CyberKnow Leaks,@CyberKnowLeaks,توییتر,انگلیسی,نشت اطلاعات,دیتابیس,https://twitter.com/CyberKnowLeaks,23,22,22,67,بله
24,LeakLooker,@leaklooker,توییتر,انگلیسی,دارک‌وب,دیتابیس و فروش,https://twitter.com/leaklooker,24,24,23,71,بله
25,Shadow Brokers,@The_ShadowBrokers,تلگرام,انگلیسی,نشت ابزار سایبری,ابزارهای NSA,https://t.me/The_ShadowBrokers,25,25,15,65,بله
26,DarkFeed,-,وب‌سایت,انگلیسی,دارک‌وب,گروه‌های باج‌افزار,https://darkfeed.io,24,25,20,69,بله
27,HackerOne Iran,@h1iran,توییتر,فارسی,سایبری,آسیب‌پذیری,https://twitter.com/h1iran,22,21,20,63,بله
28,LeakBase,@leakbase,توییتر,انگلیسی,نشت اطلاعات,دیتابیس,https://twitter.com/leakbase,23,22,21,66,بله
29,Haaretz Security,@haaretzcom,توییتر,عبری,امنیت اسرائیل,داخلی,https://twitter.com/haaretzcom,23,21,20,64,بله
30,DEFCERT Telegram,@defcert_channel,تلگرام,فارسی,سایبری صنعتی,ICS/OT,https://t.me/defcert_channel,25,24,23,72,بله
31,MalwareHunterTeam,@malwrhunterteam,توییتر,انگلیسی,سایبری,باج‌افزار,https://twitter.com/malwrhunterteam,25,24,22,71,بله
32,CyberKnow Graph,@CyberGraphIntel,توییتر,انگلیسی,سایبری,تحلیل گراف تهدید,https://twitter.com/CyberGraphIntel,24,23,23,70,بله
33,Stratfor,@Stratfor,توییتر,انگلیسی,تحلیل امنیتی,استراتژیک,https://twitter.com/Stratfor,25,22,24,71,بله
34,Cybersecurity&Intel,@CyberIntell,توییتر,انگلیسی,سایبری و تروریسم,تحلیل تهدید,https://twitter.com/CyberIntell,24,23,21,68,بله
35,OSINT Combine,@OSINTCombine,توییتر,انگلیسی,OSINT,تحلیل تهدید,https://twitter.com/OSINTCombine,23,22,23,68,بله
36,Haaretz Security TG,@haaretznews,تلگرام,عبری,امنیت داخلی,اسرائیل,https://t.me/haaretznews,23,20,20,63,بله
37,Telegram Cyber Watch,@cyberwatch_ir,تلگرام,فارسی,سایبری ایران,گزارش رخداد,https://t.me/cyberwatch_ir,24,23,21,68,بله
38,APT Hunter,@APT_hunter,توییتر,انگلیسی,حملات APT,جهانی,https://twitter.com/APT_hunter,25,25,22,72,بله
39,Disclose.io,@disclosetweets,توییتر,انگلیسی,آسیب‌پذیری‌ها,زودهنگام,https://twitter.com/disclosetweets,23,23,23,69,بله
40,CyberSecLeaks,@cybersecleaks,توییتر,انگلیسی,نشت اطلاعات,دیتابیس,https://twitter.com/cybersecleaks,23,21,22,66,بله
41,TheCyberShia,@cybershia,توییتر,فارسی,سایبری,ایران/منطقه‌ای,https://twitter.com/cybershia,22,21,19,62,بله
42,LeakExpress,@LeakExpress,توییتر,انگلیسی,نشت اطلاعات,داده‌های حساسی,https://twitter.com/LeakExpress,24,23,22,69,بله
43,Security Affairs,@securityaffairs,توییتر,انگلیسی,سایبری,رخدادهای بین‌الملل,https://twitter.com/securityaffairs,25,24,24,73,بله
44,Cyber Threat Intel,@CyberThreatIntel,توییتر,انگلیسی,سایبری,تهدید مداوم,https://twitter.com/CyberThreatIntel,23,22,23,68,بله
45,GhostSec,@GhostSecGroup,توییتر,انگلیسی,تروریسم / سایبری,فعالیت گروه‌ها,https://twitter.com/GhostSecGroup,22,23,20,65,بله
46,Shodan,-,وب‌سایت,انگلیسی,سایبری صنعتی,ICS Scanner,https://www.shodan.io,25,25,23,73,بله
47,Iranian Hacker Watch,@IRhackerwatch,توییتر,انگلیسی,سایبری,ایران,https://twitter.com/IRhackerwatch,23,21,20,64,بله
48,Cyber Iran Monitor,@CyberIranMon,توییتر,فارسی,سایبری,گزارش تهدیدات,https://twitter.com/CyberIranMon,24,22,21,67,بله
49,FDD - Iran Tracker,@FDD_Iran,توییتر,انگلیسی,امنیت ایران,تحلیل سیاسی,https://twitter.com/FDD_Iran,22,22,21,65,بله
50,VulnWatch,@VulnWatch,توییتر,انگلیسی,آسیب‌پذیری‌ها,CVE/Zero Day,https://twitter.com/VulnWatch,24,24,22,70,بله
51,IranLeaks,@LeaksIran,توییتر,فارسی,نشت اطلاعات,ایران,https://twitter.com/LeaksIran,22,21,19,62,بله
52,iSIGHT Partners,-,وب‌سایت,انگلیسی,سایبری جهانی,تحلیل تهدید,https://www.fireeye.com,25,25,24,74,بله
53,Norse Corp,-,وب‌سایت,انگلیسی,حملات سایبری,رصد زنده,http://map.norsecorp.com,25,24,22,71,بله
54,Threat Intel Platform,@ThreatIntelPlat,توییتر,انگلیسی,سایبری,تحلیل تهدیدات,https://twitter.com/ThreatIntelPlat,23,22,23,68,بله
55,Infosec Iran,@InfosecIran,توییتر,فارسی,امنیت سایبری,ایران,https://twitter.com/InfosecIran,23,22,20,65,بله
56,Infosecurity Magazine,@InfosecurityMag,توییتر,انگلیسی,امنیت سایبری,بین‌المللی,https://twitter.com/InfosecurityMag,25,25,24,74,بله
57,Mandiant Threat Intel,@mandiant,توییتر,انگلیسی,سایبری,تهدیدات جهانی,https://twitter.com/mandiant,25,24,24,73,بله
